partner_id,partner_name,city,vehicle_type,experience_years,rating
PART0001,Qarin Keer,Mumbai,Scooter,3,3.8
PART0002,Reva Dasgupta,Kolkata,Cycle,3,4.3
PART0003,Madhav Bains,Delhi,Scooter,2,4.1
PART0004,Lucky Khosla,Delhi,Cycle,3,4.6
PART0005,Yasti Iyer,Kolkata,Bike,2,3.8
PART0006,Varsha Mann,Bengaluru,Cycle,2,4.3
PART0007,Harish Tailor,Jaipur,Cycle,3,3.7
PART0008,Anvi Raman,Delhi,Cycle,1,4.9
PART0009,Hredhaan Shetty,Hyderabad,Bike,0,4.8
PART0010,Pavani Divan,Pune,Bike,0,4.3
PART0011,Bhanumati Shankar,Pune,Bike,4,4.5
PART0012,Lopa Apte,Kolkata,Scooter,3,3.7
PART0013,Bahadurjit Saxena,Pune,Scooter,1,3.8
PART0014,Isha Dewan,Hyderabad,Scooter,5,3.9
PART0015,Tara Malhotra,Pune,Cycle,0,3.6
PART0016,Nathan Parmar,Jaipur,Cycle,2,4.8
PART0017,Ikshita Vohra,Hyderabad,Bike,2,4.5
PART0018,Yochana Bhatnagar,Bengaluru,Bike,2,4.8
PART0019,Max Pandey,Bengaluru,Bike,5,4.2
PART0020,Tripti Dey,Chennai,Bike,1,5.0
PART0021,Chavvi Ramesh,Mumbai,Bike,5,4.6
PART0022,Veda Puri,Delhi,Cycle,2,5.0
PART0023,Pranit Tripathi,Delhi,Scooter,1,4.2
PART0024,Kai Naik,Delhi,Bike,4,4.5
PART0025,Netra Bir,Pune,Bike,4,4.3
PART0026,Ayushman Dutt,Bengaluru,Bike,0,4.0
PART0027,Gopal Cherian,Chennai,Scooter,3,4.6
PART0028,Vamakshi Naik,Pune,Cycle,3,3.9
PART0029,Warjas Cheema,Jaipur,Bike,2,4.0
PART0030,Leena Salvi,Chennai,Cycle,5,4.8
PART0031,David Krishna,Jaipur,Bike,2,4.5
PART0032,Baljiwan Bora,Delhi,Bike,3,4.8
PART0033,Kavya Balan,Bengaluru,Scooter,3,3.5
PART0034,Ekani Chokshi,Kolkata,Scooter,1,4.6
PART0035,Krishna Deol,Hyderabad,Scooter,5,3.7
PART0036,Rohan Krishnan,Pune,Cycle,5,4.3
PART0037,Raksha Mangal,Jaipur,Cycle,1,3.9
PART0038,Saksham Edwin,Chennai,Scooter,3,4.4
PART0039,Rehaan Chadha,Pune,Scooter,1,3.6
PART0040,Gopal Jani,Chennai,Cycle,0,4.2
PART0041,Logan Ahluwalia,Jaipur,Cycle,2,3.9
PART0042,Nikita Bora,Delhi,Scooter,5,3.7
PART0043,Qasim Wable,Bengaluru,Cycle,2,4.4
PART0044,Ranveer Johal,Bengaluru,Scooter,3,3.9
PART0045,Xiti Pandey,Pune,Bike,3,3.6
PART0046,Lakshit Bhavsar,Pune,Cycle,0,3.6
PART0047,Prisha Puri,Pune,Bike,3,4.0
PART0048,Farhan Datta,Delhi,Bike,2,3.7
PART0049,Harrison Dalal,Pune,Cycle,5,4.9
PART0050,Vihaan Behl,Bengaluru,Bike,5,3.9
PART0051,Arin Kapur,Hyderabad,Scooter,4,4.9
PART0052,Zayan Ramakrishnan,Pune,Bike,0,4.2
PART0053,Ekansh Dugar,Chennai,Bike,5,4.5
PART0054,Falan Warrior,Kolkata,Scooter,0,4.8
PART0055,Zarna Tella,Pune,Cycle,2,3.8
PART0056,Mohini Bhandari,Kolkata,Cycle,2,4.7
PART0057,Urishilla Lall,Bengaluru,Cycle,1,3.9
PART0058,Bachittar Nigam,Kolkata,Cycle,1,4.0
PART0059,Advika Iyer,Mumbai,Scooter,4,4.9
PART0060,Daniel Dewan,Jaipur,Cycle,1,4.1
PART0061,Forum Bhatia,Kolkata,Bike,1,4.3
PART0062,Wakeeta Bora,Chennai,Cycle,5,4.6
PART0063,Hiral Bobal,Jaipur,Scooter,3,4.2
PART0064,Faris Srinivas,Kolkata,Scooter,0,4.9
PART0065,Anika Barman,Delhi,Scooter,0,4.6
PART0066,Balendra Taneja,Pune,Bike,4,4.3
PART0067,Inaya Sankar,Bengaluru,Cycle,4,4.8
PART0068,Chavvi Kari,Pune,Bike,3,3.7
PART0069,Christopher Bal,Delhi,Scooter,4,4.2
PART0070,Ladli Badami,Delhi,Bike,0,3.9
PART0071,Charles Ram,Mumbai,Scooter,4,3.6
PART0072,Jeremiah Sani,Pune,Cycle,3,4.5
PART0073,Lakshit D’Alia,Delhi,Bike,5,4.4
PART0074,Jacob Pillai,Delhi,Cycle,1,4.3
PART0075,Rishi Oza,Jaipur,Bike,1,4.8
PART0076,Dalbir Khanna,Bengaluru,Scooter,5,4.0
PART0077,George Anne,Delhi,Scooter,4,4.5
PART0078,Nitara Yadav,Mumbai,Bike,0,3.7
PART0079,Alexander Krish,Mumbai,Cycle,0,3.9
PART0080,Faraj Bhandari,Mumbai,Scooter,0,4.7
PART0081,Reva Gole,Jaipur,Scooter,0,4.9
PART0082,Caleb Murthy,Pune,Scooter,3,5.0
PART0083,Yash Master,Hyderabad,Cycle,2,4.7
PART0084,Mitali Srinivas,Jaipur,Cycle,4,3.7
PART0085,Faraj Bose,Bengaluru,Cycle,0,3.8
PART0086,Samesh Talwar,Hyderabad,Bike,4,4.6
PART0087,Thomas Sawhney,Hyderabad,Scooter,3,3.9
PART0088,Jeevika Master,Mumbai,Cycle,3,4.1
PART0089,Amara Nagar,Pune,Scooter,3,4.5
PART0090,Chatura Pal,Mumbai,Scooter,3,4.7
PART0091,Vedika Mammen,Bengaluru,Bike,2,4.2
PART0092,Samar Devan,Kolkata,Bike,4,4.0
PART0093,Dalaja Kade,Jaipur,Bike,2,4.9
PART0094,Kashish Dhar,Jaipur,Cycle,3,3.9
PART0095,Wahab Sarraf,Bengaluru,Scooter,4,4.8
PART0096,Ishaan Bail,Hyderabad,Scooter,5,4.3
PART0097,Bahadurjit Madan,Mumbai,Bike,5,3.7
PART0098,Leena Mital,Chennai,Scooter,5,4.8
PART0099,Darpan Mallick,Bengaluru,Scooter,5,4.0
PART0100,Warhi Bahl,Kolkata,Bike,5,4.2
PART0101,Leena Sawhney,Jaipur,Cycle,5,3.8
PART0102,Udarsh Jha,Pune,Bike,5,4.0
PART0103,Qarin Sankar,Chennai,Cycle,4,4.7
PART0104,Dalaja Balay,Mumbai,Bike,0,4.8
PART0105,Atharv Nayar,Bengaluru,Bike,0,4.5
PART0106,Tarak Bala,Jaipur,Cycle,3,4.0
PART0107,Radha Sane,Hyderabad,Cycle,1,3.7
PART0108,Ikbal Rama,Bengaluru,Cycle,3,4.6
PART0109,Ubika Samra,Kolkata,Bike,0,4.4
PART0110,Nicholas Raj,Mumbai,Bike,5,3.6
PART0111,Wazir Deo,Chennai,Cycle,5,4.8
PART0112,Avni Mahal,Bengaluru,Scooter,0,4.5
PART0113,Zaid Merchant,Kolkata,Bike,5,4.4
PART0114,Megha Barad,Hyderabad,Bike,2,4.2
PART0115,Janaki Luthra,Pune,Bike,1,4.6
PART0116,Advik Dash,Kolkata,Cycle,1,3.6
PART0117,Ekani Lalla,Delhi,Cycle,5,3.6
PART0118,Sachi Shere,Delhi,Bike,0,4.0
PART0119,Ria Andra,Kolkata,Cycle,4,4.8
PART0120,Balhaar Parmer,Chennai,Bike,5,4.6
PART0121,Tejas Rege,Jaipur,Bike,1,4.4
PART0122,Fariq Malhotra,Jaipur,Cycle,2,4.0
